feature,importance
demand_forecast,0.9937812194062606
price_demand_ratio,0.0024729414715923504
price,0.0012880193816926313
competitor_pricing,0.0003075636335891702
inventory_level,0.00026736018493030546
rolling_std_7,0.0001534355531168233
price_competitor_diff,0.0001233730767934841
lag_1,0.00012011489864281513
price_diff,0.00011989636935669888
lag_30,0.00011938575126766654
lag_7,0.00011866334257002618
units_ordered,0.00011449457807722363
rolling_mean_7,0.00011343456000892812
ema_30,0.00011087563387188196
discounted_price,0.00010833824934101189
date_day,9.507690937010143e-05
product_name,7.959694332303179e-05
product_id,7.723685972106856e-05
week_of_year,7.250376981591206e-05
category,4.288211017698283e-05
store_id,4.199712235009885e-05
seasonality,3.475853544130783e-05
region,3.4707916074778966e-05
weather_condition,3.3593614950685726e-05
date_dayofweek,2.980256167311531e-05
day_of_week,2.9740020909129178e-05
discount,2.3330695584360407e-05
date_month,2.178381457927867e-05
month,2.149714714897262e-05
date_year,1.7101830655899612e-05
holiday_promotion,1.44304694901816e-05
quarter,8.519402427962831e-06
competitor_price_high,2.3241851954351406e-06
is_holiday,0.0
